カテゴリ,キーワード
【認知症】,認知症
【脳血管疾患】,頚動脈瘤
【精神疾患】,不安障害
【整形疾患】,肋骨骨折
【心疾患】,うっ血性心不全
【血管疾患】,下肢静脈瘤
【分類？】,COVID
【腎疾患】,腎結石
【消化器疾患】,胃潰瘍
【糖尿病および内分泌疾患】,甲状腺機能亢進
【膠原病】,皮膚筋炎
【泌尿器】,膀胱皮膚瘻
【褥瘡および皮膚疾患】,湿疹
【癌】,原発不明癌
神経疾患,進行性核上性麻痺
【分類？】,高血圧症
【認知症】,嗜銀顆粒性
【脳血管疾患】,脳動脈瘤
【精神疾患】,不安神経症
【整形疾患】,橈骨
【心疾患】,心筋梗塞
【血管疾患】,腸骨動脈瘤
【肺疾患】,肺結核
【腎疾患】,腎臓病
【消化器疾患】,クローン病
【糖尿病および内分泌疾患】,DM
【膠原病】,原発性胆汁性胆管炎
【泌尿器】,膀胱瘻
【褥瘡および皮膚疾患】,乾癬
【癌】,前立腺がん
神経疾患,流暢性失語
【分類？】,鉄欠乏性貧血
【認知症】,し銀顆粒性
【脳血管疾患】,視床出血
【精神疾患】,社会不安障害
【整形疾患】,骨粗鬆症
【心疾患】,右心不全
【血管疾患】,下肢動脈閉塞
【肺疾患】,両側肺炎
【腎疾患】,腎不全
【消化器疾患】,膵膿瘍
【糖尿病および内分泌疾患】,脂質異常症
【膠原病】,ANCA関連血管炎
【泌尿器】,膀胱直腸障害
【褥瘡および皮膚疾患】,尋常性疣贅
【癌】,直腸腫瘍
神経疾患,パーキンソン病
【分類？】,アナフィラキシー
【認知症】,アルツハイマ
【脳血管疾患】,IC-PC 動脈瘤
【精神疾患】,うつ病
【整形疾患】,大腿骨
【心疾患】,慢性心不全
【血管疾患】,バージャー病
【肺疾患】,左慢性膿胸
【腎疾患】,シャント術後
【消化器疾患】,結腸憩室穿孔
【糖尿病および内分泌疾患】,甲状腺機能低下
【膠原病】,線維筋痛症
【泌尿器】,尿路感染
【褥瘡および皮膚疾患】,皮膚炎
【癌】,結腸癌
神経疾患,脳炎
【分類？】,神経障害性疼痛
【認知症】,レビー小体
【脳血管疾患】,血管性パーキンソニズム
【精神疾患】,不安症
【整形疾患】,上腕骨
【心疾患】,狭心症
【血管疾患】,閉塞性動脈硬化症
【肺疾患】,気管支喘息
【腎疾患】,慢性腎臓病
【消化器疾患】,結腸炎
【糖尿病および内分泌疾患】,糖尿病
【膠原病】,強皮症
【泌尿器】,膀胱炎
【褥瘡および皮膚疾患】,褥瘡
【癌】,転移
神経疾患,脳性まひ
【分類？】,再生不良性貧血
【認知症】,レヴィ小体型認知症
【脳血管疾患】,脳血管性認知機能低下
【精神疾患】,統合失調症
【整形疾患】,上肢骨折
【心疾患】,カテーテル治療
【血管疾患】,大伏在静脈瘤
【肺疾患】,喘息
【腎疾患】,血液透析
【消化器疾患】,胃ポリープ
【糖尿病および内分泌疾患】,高尿酸血症
【膠原病】,IgG4関連胸膜炎
【泌尿器】,膀胱結石
【褥瘡および皮膚疾患】,帯状疱疹
【癌】,浸潤
神経疾患,筋委縮性側索硬化症
【分類？】,廃用症候群
【認知症】,前頭側頭葉型認知症
【脳血管疾患】,脳血管障害
【精神疾患】,抑うつ
【整形疾患】,手首骨折
【心疾患】,カテーテル術後
【血管疾患】,慢性血栓塞栓
【肺疾患】,小児喘息
【腎疾患】,腹膜透析
【消化器疾患】,イレウス
【糖尿病および内分泌疾患】,SIADH
【膠原病】,RS3PE症候群
【泌尿器】,膀胱脱
【褥瘡および皮膚疾患】,皮膚掻痒
【癌】,肺癌
神経疾患,筋筋膜性腰痛症
【分類？】,急性呼吸窮迫症候群既往
【認知症】,レビー
【脳血管疾患】,脳虚血
【精神疾患】,うつ傾向
【整形疾患】,乾癬性関節炎
【心疾患】,心不全
【血管疾患】,肺高血圧
【肺疾患】,結核性胸膜炎
【腎疾患】,腎障害
【消化器疾患】,腸閉塞
【糖尿病および内分泌疾患】,バセド
【膠原病】,リウマチ性多発筋痛症
【泌尿器】,神経因性膀胱
【褥瘡および皮膚疾患】,疣贅
【癌】,大腸癌
神経疾患,筋萎縮性側索硬化症
【分類？】,敗血性ショック
【認知症】,嗜銀顆粒性
【脳血管疾患】,硬膜下血種
【精神疾患】,妄想性障害
【整形疾患】,下肢骨折
【心疾患】,心不全疑い
【血管疾患】,浅大腿静脈血栓
【肺疾患】,胸膜炎
【腎疾患】,腎硬化症
【消化器疾患】,鼠経ヘルニア
【糖尿病および内分泌疾患】,下垂体機能低下
【膠原病】,全身性エリテマトーデス
【泌尿器】,過活動膀胱
【褥瘡および皮膚疾患】,皮疹
【癌】,子宮頸癌
神経疾患,多嚢胞性脳軟化症
【分類？】,睡眠時無呼吸症候群
【認知症】,血管性認知症
【脳血管疾患】,外傷性てんかん
【精神疾患】,非定型精神病
【整形疾患】,複雑骨折
【心疾患】,心房細動
【血管疾患】,腹部大動脈
【肺疾患】,非結核性抗酸菌
【腎疾患】,膜性腎症
【消化器疾患】,常染色体優性多嚢胞性肝疾患(ADPLD)
【糖尿病および内分泌疾患】,下垂体腺腫
【膠原病】,全身性紅皮症
【泌尿器】,前立腺肥大
【褥瘡および皮膚疾患】,蜂窩織炎
【癌】,肝多発腫瘍
神経疾患,ジストロフィー
【分類？】,老衰
【認知症】,認知機能障害
【脳血管疾患】,高次機能障害
【精神疾患】,強迫神経症
【整形疾患】,仙骨骨折
【心疾患】,高度房室ブロック
【血管疾患】,大動脈解離
【肺疾患】,結核後遺症
【腎疾患】,CKD
【消化器疾患】,肝炎
【糖尿病および内分泌疾患】,低ACTH低コルチゾール血症
【膠原病】,好酸球性多発血管炎性肉芽腫症
【泌尿器】,尿管結石
【褥瘡および皮膚疾患】,丹毒
【癌】,扁平上皮癌
